Player,Year
Lalit Yadav,2020
Lalit Yadav,2022
Lasith Malinga,2019
Laxmi Ratan Shukla,2014
Laxmi Ratan Shukla,2015
Liam Livingstone,2019
Liam Livingstone,2021
Liam Livingstone,2022
Lockie Ferguson,2017
Lockie Ferguson,2019
Lockie Ferguson,2022
Luke Pomersbach,2013
Lukman Hussain Meriwala,2021
Lungisani Ngidi,2018
Lungisani Ngidi,2022
Luvnith Sisodia,2022
M Siddharth,2020
M Siddharth,2021
M. Ashwin,2016
M. Ashwin,2017
M. Ashwin,2018
M. Ashwin,2019
M. Harisankar Reddy,2021
Washington Sundar,2018
Maheesh Theekshana,2022
Mahipal Lomror,2016
Mahipal Lomror,2018
Mahipal Lomror,2022
Manan Ajay Sharma,2016
Manan Vohra,2018
Manan Vohra,2019
Manan Vohra,2022
Mandeep Hardev Singh,2014
Mandeep Singh,2018
Mandeep Singh,2022
Manish Pandey,2014
Manish Pandey,2018
Manish Pandey,2022
Manjot Kalra,2018
Manoj Tiwary,2014
Manoj Tiwary,2017
Manoj Tiwary,2018
Manpreet Gony,2013
Manpreet Gony,2017
Manprit Juneja,2014
Manvinder Bisla,2014
Manzoor Dar,2018
Marchant De Lange,2014
Marco Jansen,2021
Marco Jansen,2022
Marcus Stoinis,2015
Marcus Stoinis,2016
Marcus Stoinis,2018
Marcus Stoinis,2020
Mark Wood,2018
Mark Wood,2022
Martin Guptill,2017
Martin Guptill,2019
Matt Henry,2014
Matt Henry,2017
Matthew Wade,2022
Mayank Agarwal,2014
Mayank Agarwal,2018
Mayank Dagar,2018
Mayank Markande,2018
Mayank Markande,2022
Mayank Yadav,2022
Michael Clarke,2013
Michael Hussey,2014
Michael Hussey,2015
Midhun S,2018
Milind Kumar,2014
Milind Kumar,2019
Milind Tandon,2017
Mitchell Johnson,2014
Mitchell Johnson,2017
Mitchell Johnson,2018
Mitchell Marsh,2016
Mitchell Marsh,2020
Mitchell Marsh,2022
Mitchell McClenaghan,2015
Mitchell Santner,2018
Mitchell Santner,2022
Mitchell Starc,2014
Mitchell Starc,2018
Mithun Manhas,2014
Moeen Ali,2018
Moeen Ali,2021
Mohammad Nabi,2017
Mohammad Nabi,2018
Mohammad Nabi,2022
Mohammad Shami,2014
Mohammad Shami,2018
Mohammad Shami,2019
Mohammad Shami,2022
Mohammed Azharudeen,2021
Mohammed Siraj,2017
Mohammed Siraj,2018
Mohd. Arshad Khan,2022
Mohit Sharma,2014
Mohit Sharma,2016
Mohit Sharma,2018
Mohit Sharma,2019
Mohit Sharma,2020
Mohsin Khan,2018
Mohsin Khan,2020
Mohsin Khan,2022
Moises Henriques,2013
Moises Henriques,2014
Moises Henriques,2019
Moises Henriques,2021
Monu Singh,2018
Morne Morkel,2014
Mujeeb Zadran,2018
Mujeeb Zadran,2021
Mukesh Choudhary,2022
Munaf Patel,2017
Murali Kartik,2014
Murali Vijay,2014
Murali Vijay,2015
Murali Vijay,2018
Murugan Ashwin,2022
Mustafizur Rahman,2016
Mustafizur Rahman,2018
Mustafizur Rahman,2021
Mustafizur Rahman,2022
Muttiah Muralitharan,2014
N Jagadeesan,2018
N. Jagadeesan,2022
N. Tilak Varma,2022
Naman Ojha,2014
Naman Ojha,2018
Nathan Coulter-Nile,2013
Nathan Coulter-Nile,2014
Nathan Coulter-Nile,2017
Nathan Coulter-Nile,2018
Nathan Coulter-Nile,2020
Nathan Coulter-Nile,2021
Nathan Coulter-Nile,2022
Nathan Ellis,2022
Nathan McCullum,2013
Nathu Singh,2016
Nathu Singh,2017
Nathu Singh,2019
Navdeep Saini,2017
Navdeep Saini,2018
Navdeep Saini,2022
Nic Maddinson,2014
Nicolas Pooran,2022
Nicolas Pooran,2017
Nicolas Pooran,2019
Nidheesh M D Dinesan,2018
Nikhil Shankar Naik,2015
Nikhil Shankar Naik,2019
Nikhil Shankar Naik,2020
Nitish Rana,2015
Nitish Rana,2018
Nitish Rana,2022
Noor Ahmad,2022
Obed Mccoy,2022
Odean Smith,2022
Oshane Thomas,2019
Oshane Thomas,2020
Pankaj Jaswal,2019
Pankaj Singh,2013
Paras Dogra,2016
Pardeep Sahu,2015
Pardeep Sahu,2016
Pardeep Sahu,2018
Parthiv Patel,2014
Parthiv Patel,2018
Parveez Rasool,2014
Parvinder Awana,2014
Pat Cummins,2018
Pat Cummins,2020
Pat Cummins,2022
Pat Cummins,2014
Pat Cummins,2017
Pavan Deshpande,2018
Pavan Deshpande,2020
Pawan Negi,2014
Pawan Negi,2016
Pawan Negi,2017
Pawan Negi,2018
Pawan Negi,2021
Pawan Suyal,2014
Pawan Suyal,2016
Peter Handscomb,2016
Philip Hughes,2013
Piyush Chawla,2014
Piyush Chawla,2018
Piyush Chawla,2020
Piyush Chawla,2021
Prabhsimran Singh,2019
Prabhsimran Singh,2020
Prabhsimran Singh,2022
Pradeep Sangwan,2016
Pradeep Sangwan,2018
Pradeep Sangwan,2022
Pragyan Ojha,2014
Pragyan Ojha,2015
Prasanth Padmanabhan,2015
Prasanth Parameswaran,2014
Prashant Chopra,2018
Prashant Solanki,2022
Prasidh Krishna,2022
Pratham Singh,2017
Pratham Singh,2022
Pratyush Singh,2015
Pratyush Singh,2016
Praveen Dubey,2016
Praveen Dubey,2017
Praveen Kumar,2015
Praveen Kumar,2016
Pravin Dubey,2022
Pravin Tambe,2014
Pravin Tambe,2016
Pravin Tambe,2017
Pravin Tambe,2020
Prayas Ray Barman,2019
Prerak Mankad,2022
Prince Balwant Rai Singh,2020
Prithvi Raj Yarra,2019
Prithvi Shaw,2018
Priyam Garg,2020
Priyam Garg,2022
Quinton De Kock,2013
Quinton De Kock,2014
Quinton De Kock,2018
Quinton De Kock,2022
R Samarth,2022
R. Ashwin,2022
R. Sai Kishore,2020
R. Sai Kishore,2022
R. Sanjay Yadav,2017
Rahul Ajay Tripathi,2017
Rahul Buddhi,2022
Rahul Chahar,2017
Rahul Chahar,2018
Rahul Chahar,2022
Rahul Sharma,2014
Rahul Sharma,2015
Rahul Shukla,2014
Rahul Tewatia,2014
Rahul Tewatia,2017
Rahul Tewatia,2018
Rahul Tewatia,2022
Rahul Tripathi,2018
Rahul Tripathi,2020
Rahul Tripathi,2022
Raj Angad Bawa,2022
Rajagopal Sathish,2016
Rajat Bhatia,2014
Rajat Bhatia,2016
Rajat Patidar,2021
Rajvardhan Hangargekar,2022
Ramandeep Singh,2022
Ramesh Kumar,2022
Ranganath Vinay Kumar,2014
Ranganath Vinay Kumar,2018
Rashid Khan Arman,2017
Rashid Khan Arman,2018
Rasikh Dar,2019
Rasikh Dar,2022
Rassie Van Der Dussen,2022
Ravi Bishnoi,2020
Ravi Bopara,2015
Ravi Rampaul,2013
Ravi Rampaul,2014
Ravichandran Ashwin,2018
Ricky Bhui,2014
Ricky Bhui,2018
Ricky Ponting,2013
Riley Meredith,2021
Riley Meredith,2022
Rinku Singh,2017
Rinku Singh,2018
Rinku Singh,2022
Ripal Patel,2021
Ripal Patel,2022
Rishabh Pant,2016
Rishi Dhawan,2014
Rishi Dhawan,2017
Rishi Dhawan,2022
Riyan Parag,2019
Riyan Parag,2022
Robin Uthappa,2014
Robin Uthappa,2018
Robin Uthappa,2020
Robin Uthappa,2022
Romario Shepherd,2022
Ronit More,2014
Ross Taylor,2014
Rovman Powell,2017
Rovman Powell,2022
Rudra Pratap Singh,2013
Rudra Pratap Singh,2016
Ruturaj Gaikwad,2019
Ryan McLaren,2013
Ryan Ten Doeschate,2014
Sachin Baby,2016
Sachin Baby,2018
Sachin Baby,2021
Sachin Rana,2014
Sachithra Senanayaka,2013
Sagar Trivedi,2015
Sam Billings,2016
Sam Billings,2018
Sam Billings,2021
Sam Billings,2022
Sam Curran,2019
Sam Curran,2020
Samuel Badree,2014
Samuel Badree,2016
Sandeep Bavanaka,2020
Sandeep Lamichhane,2018
Sandeep Sharma,2014
Sandeep Sharma,2018
Sandeep Sharma,2022
Sandeep Warrier,2014
Sanjay Yadav,2020
Sanjay Yadav,2022
Sanju Samson,2016
Sanju Samson,2018
Sarabjit Ladda,2016
Sarfaraz Khan,2022
Sarfaraz Naushad Khan,2015
Sarfaraz Naushad Khan,2019
Saurabh Dubey,2022
Saurabh Kumar,2017
Saurabh Kumar,2021
Saurabh Tiwary,2014
Saurabh Tiwary,2017
Saurabh Tiwary,2018
Saurabh Tiwary,2020
Sayan Ghosh,2017
Sayan Ghosh,2018
Sayan Sekhar Mandal,2014
Scott Boland,2016
Sean Abbott,2015
Sean Abbott,2022
Shadab Jakati,2014
Shadab Jakati,2016
Shahbaz Ahamad,2020
Shahbaz Ahamad,2022
Shahbaz Nadeem,2014
Shahbaz Nadeem,2018
Shahbaz Nadeem,2022
Shahrukh Khan,2021
Shahrukh Khan,2022
Shakib Al Hasan,2014
Shakib Al Hasan,2018
Shakib Al Hasan,2021
Shane Watson,2016
Shane Watson,2018
Sharad Lumba,2018
Shardul Thakur,2014
Shardul Thakur,2018
Shardul Thakur,2022
Shashank Singh,2017
Shashank Singh,2019
Shashank Singh,2022
Shaun Marsh,2014
Sheldon Cottrell,2020
Sheldon Jackson,2015
Sheldon Jackson,2021
Sheldon Jackson,2022
Shelley Shaurya,2017
Sherfane Rutherford,2019
Sherfane Rutherford,2022
Shikhar Dhawan,2018
Shikhar Dhawan,2022
Shimron Hetmyer,2019
Shimron Hetmyer,2020
Shimron Hetmyer,2022
Shishir Bhavane,2015
Shivam Dube,2019
Shivam Dube,2021
Shivam Dube,2022
Shivam Mavi,2018
Shivam Mavi,2022
Shivam Sharma,2014
Shivil Kaushik,2016
Shreevats Goswami,2018
Shreyas Gopal,2014
Shreyas Gopal,2018
Shreyas Gopal,2022
Shreyas Iyer,2015
Shreyas Iyer,2022
Shrikant Mundhe,2019
Shubam Agrawal,2017
Shubham Garhwal,2022
Shubham Ranjane,2019
Shubman Gill,2018
Siddarth Kaul,2014
Siddarth Kaul,2015
Siddarth Kaul,2018
Siddharth Kaul,2022
Siddhesh Dinesh Lad,2015
Siddhesh Dinesh Lad,2018
Simarjeet Singh,2022
Srikkanth Anirudha,2014
Steven Smith,2014
Steven Smith,2021
Stuart Binny,2016
Stuart Binny,2018
Subhranshu Senapati,2022
Subramaniam Badrinath,2015
Sudeep Tyagi,2013
Sumit Narwal,2015
Suryakumar Yadav,2014
Suryakumar Yadav,2018
Sushant Marathe,2014
Suyash Prabhudesai,2021
Suyash Prabhudessai,2022
Swapnil Singh,2016
Syed Khaleel Ahmed,2016
Syed Khaleel Ahmed,2018
Syed Khaleel Ahmed,2022
Syed Mehdi Hasan,2018
T Natarajan,2017
T Natarajan,2018
T. Natarajan,2022
Tajinder Dhillon,2018
Tajinder Dhillon,2020
Tanmay Agarwal,2017
Tanmay Agarwal,2018
Tanmay Mishra,2014
Tejas Baroka,2022
Tejas Singh Baroka,2017
Thisara Perera,2013
Thisara Perera,2014
Thisara Perera,2016
Tim David,2022
Tim Seifert,2022
Tim Southee,2014
Tim Southee,2016
Tim Southee,2018
Tim Southee,2022
Tirumalasetti Suman,2016
Tom Banton,2020
Tom Curran,2020
Tom Curran,2021
Travis Head,2015
Travis Head,2016
Trent Boult,2015
Trent Boult,2017
Trent Boult,2018
Trent Boult,2022
Tushar Deshpande,2020
Tushar Deshpande,2022
Tymal Mills,2017
Tymal Mills,2022
Umang Sharma,2016
Umesh Yadav,2014
Umesh Yadav,2018
Umesh Yadav,2021
Umesh Yadav,2022
Unmukt Chand,2014
Utkarsh Singh,2021
Vaibhav Arora,2021
Vaibhav Arora,2022
Vaibhav Rawal,2015
Varun Aaron,2014
Varun Aaron,2017
Varun Aaron,2019
Varun Aaron,2022
Varun Chakaravarthy,2019
Varun Chakaravarthy,2020
Veer Pratap Singh,2014
Venkatesh Iyer,2021
Venugopal Rao,2014
Vicky Ostwal,2022
Vijay Shankar,2014
Vijay Shankar,2016
Vijay Shankar,2018
Vijay Shankar,2022
Vijay Zol,2014
Vikas Tokas,2016
Vikramjeet Malik,2014
Vikramjeet Malik,2016
Virat Singh,2020
Virender Sehwag,2014
Vishnu Vinod,2021
Vishnu Vinod,2022
Wanindu Hasaranga,2022
Washington Sundar,2022
Wayne Parnell,2014
Wriddhiman Saha,2014
Wriddhiman Saha,2018
Wriddhiman Saha,2019
Wriddhiman Saha,2022
Writtick Chatterjee,2022
Yash Dayal,2022
Yash Dhull,2022
Yashasvi Jaiswal,2020
Yogesh Gowalkar,2015
Yogesh Takawale,2014
Yudhvir Charak,2021
Yusuf Pathan,2014
Yusuf Pathan,2018
Yuvraj Singh,2014
Yuvraj Singh,2015
Yuvraj Singh,2016
Yuvraj Singh,2018
Yuvraj Singh,2019
Yuzvendra Chahal,2022
Yuzvendra Singh Chahal,2014
Yuzvendra Singh Chahal,2018
Zaheer Khan,2014
Zaheer Khan,2015
Zahir Khan Pakteen,2018
